縣市,縣市人數,地址,等級,公廁所在場所,公廁性質,尿布台組,數字
高雄市,2715827,高雄市前鎮區忠純里中華五路1111號,特優級,商業營業場所,無障礙廁所,0,
高雄市,2715827,高雄市前鎮區盛興里三多三路217號,特優級,商業營業場所,女廁所,1,
高雄市,2715827,高雄市鼓山區新民里延平街87-13號,特優級,文化育樂活動場所,女廁所,0,
高雄市,2715827,高雄市前鎮區盛興里三多三路217號,特優級,商業營業場所,女廁所,1,
高雄市,2715827,高雄市前鎮區忠純里中華五路1111號,特優級,商業營業場所,男廁所,0,
高雄市,2715827,高雄市鼓山區桃源里蓮海路70號,特優級,其他,男廁所,0,
高雄市,2715827,高雄市鼓山區桃源里蓮海路70號,特優級,其他,女廁所,0,
高雄市,2715827,高雄市鼓山區鼓峰里九如四路與九如四路1990巷,特優級,公園,男廁所,1,
高雄市,2715827,高雄市鼓山區鼓峰里九如四路與九如四路1990巷,特優級,公園,女廁所,1,
高雄市,2715827,高雄市前鎮區盛興里三多三路217號,特優級,商業營業場所,女廁所,1,
高雄市,2715827,高雄市鼓山區雄峰里永德街轉角,特優級,公園,男廁所,1,
高雄市,2715827,高雄市鼓山區雄峰里永德街轉角,特優級,公園,女廁所,0,
高雄市,2715827,高雄市鼓山區雄峰里永德街轉角,特優級,公園,無障礙廁所,0,
高雄市,2715827,高雄市鼓山區建國里九如四路與青峰街,特優級,公園,男廁所,0,
高雄市,2715827,高雄市鼓山區建國里九如四路與青峰街,特優級,公園,女廁所,0,
高雄市,2715827,高雄市鼓山區建國里九如四路與青峰街,特優級,公園,無障礙廁所,0,
高雄市,2715827,高雄市鼓山區麗興里鼓山一路及臨海一路交叉口,特優級,公園,男廁所,0,
高雄市,2715827,高雄市鼓山區麗興里鼓山一路及臨海一路交叉口,特優級,公園,女廁所,0,
高雄市,2715827,高雄市旗津區南汕里旗津三路2號,特優級,民眾洽公場所,混合廁所,0,
臺南市,2868409,臺南市學甲區秀昌里中正路６４５號,特優級,商業營業場所,女廁所,0,
臺南市,2868409,臺南市北　區公園里公園路１８０號,特優級,其他,無障礙廁所,0,
高雄市,2715827,高雄市旗津區南汕里旗津三路2號,特優級,民眾洽公場所,混合廁所,0,
高雄市,2715827,高雄市鼓山區龍子里博愛二路21號,特優級,交通,男廁所,1,
